Date,Commodity,Location,Daily Price,Unit,Sowing Date,Harvest Date,Production (Tons),Rainfall (mm),Max Temp,Min Temp,Humidity (%),Extreme Event,Festival/Holiday,Commodity Relevance,Sentiment Score,Key Event
2022-04-11,gram,Mumbai,22.91,kg,2015-05-14,2015-09-09,20580.85,141.61,26.23,22.52,54.22,None,Holi,gram,Neutral,Government Policy
2020-10-21,tur,Chennai,154.03,kg,2015-03-03,2015-10-04,48270.89,161.52,34.67,13.83,50.77,Flood,Holi,onion,Neutral,None
2019-07-17,urad,Mumbai,130.2,quintal,2015-01-23,2015-08-09,48953.65,101.67,35.33,12.73,72.58,Flood,Christmas,gram,Positive,Government Policy
2022-08-03,masur,Delhi,133.62,kg,2015-01-21,2015-12-29,17978.58,28.43,32.93,17.54,72.61,Flood,Holi,masur,Negative,Crop Failure
2022-03-08,gram,Bangalore,157.73,quintal,2015-05-13,2015-08-27,1638.18,41.42,32.23,12.29,44.05,None,Holi,masur,Negative,Import Ban
2023-04-06,tur,Bangalore,107.02,quintal,2015-03-22,2015-11-29,34952.21,264.05,30.84,14.63,60.61,Flood,Eid,urad,Negative,Crop Failure
2023-05-30,tur,Mumbai,15.01,quintal,2015-03-06,2015-07-17,38796.35,228.46,30.28,11.25,49.17,Flood,Christmas,moong,Negative,Crop Failure
2015-07-15,potato,Bangalore,92.96,kg,2015-05-14,2015-09-18,46620.59,125.26,33.03,17.17,36.73,Flood,Diwali,potato,Positive,Import Ban
2017-01-06,potato,Bangalore,109.06,kg,2015-05-27,2015-08-06,27773.76,229.03,43.94,15.29,74.5,Drought,Holi,moong,Negative,None
2022-09-10,potato,Chennai,45.83,quintal,2015-02-26,2015-08-14,11607.68,184.88,34.96,14.94,39.42,None,Onam,masur,Negative,Import Ban
2015-05-14,tur,Chennai,129.47,quintal,2015-03-24,2015-12-06,24024.84,278.07,34.16,16.0,37.07,Drought,Holi,moong,Neutral,Government Policy
2019-12-22,masur,Delhi,182.47,kg,2015-04-05,2015-12-19,24483.67,69.33,28.01,24.1,68.08,Drought,Diwali,urad,Positive,Import Ban
2018-02-12,urad,Chennai,34.26,kg,2015-06-14,2015-12-20,37294.91,231.84,32.57,15.19,48.33,None,Eid,potato,Neutral,Government Policy
2021-10-08,moong,Kolkata,38.22,kg,2015-01-14,2015-12-07,11644.61,249.45,39.64,23.75,56.42,Flood,Diwali,gram,Negative,Government Policy
2020-01-05,gram,Bangalore,99.29,kg,2015-01-30,2015-10-06,5969.49,136.55,29.38,21.26,74.27,None,Christmas,potato,Negative,Government Policy
2020-10-31,moong,Mumbai,90.78,quintal,2015-06-16,2015-10-15,47088.65,115.57,25.74,13.27,79.71,Flood,Holi,gram,Positive,Import Ban
2023-05-09,potato,Mumbai,120.29,kg,2015-06-14,2015-07-07,7978.19,30.13,28.01,15.68,55.07,Drought,Holi,tur,Negative,Crop Failure
2016-02-01,moong,Chennai,95.42,kg,2015-05-04,2015-07-09,13127.78,230.23,38.17,15.52,46.04,Drought,Christmas,moong,Positive,Import Ban
2019-07-09,onion,Kolkata,123.54,quintal,2015-04-06,2015-11-07,21692.25,227.69,39.51,18.8,40.32,Flood,Holi,onion,Neutral,None
2021-01-29,tur,Chennai,118.54,kg,2015-04-26,2015-07-14,27554.11,245.46,27.37,16.16,47.17,Drought,Diwali,masur,Neutral,Government Policy
2023-07-01,onion,Bangalore,121.56,kg,2015-03-27,2015-12-30,11490.52,189.3,26.9,19.2,88.68,Drought,Diwali,onion,Negative,None
2019-06-01,masur,Kolkata,58.82,quintal,2015-05-11,2015-07-30,4981.56,207.29,44.3,15.12,71.74,Flood,Holi,masur,Positive,Import Ban
2020-10-25,moong,Bangalore,145.19,quintal,2015-03-19,2015-07-19,17522.13,137.7,32.35,14.54,81.4,Flood,Holi,tur,Neutral,None
